customerID,gender,SeniorCitizen,Partner,StreamingTV,PhoneService,InternetService,PaperlessBilling,Churn
7590-VHVEG,Female,No,Yes,No,No,DSL,Yes,0
5575-GNVDE,Male,No,No,No,Yes,DSL,No,0
3668-QPYBK,Male,No,No,No,Yes,DSL,Yes,1
7795-CFOCW,Male,No,No,No,No,DSL,No,0
9237-HQITU,Female,No,No,No,Yes,Fiber optic,Yes,1
9305-CDSKC,Female,No,No,Yes,Yes,Fiber optic,Yes,1
1452-KIOVK,Male,No,No,Yes,Yes,Fiber optic,Yes,0
6713-OKOMC,Female,No,No,No,No,DSL,No,0
7892-POOKP,Female,No,Yes,Yes,Yes,Fiber optic,Yes,1
6388-TABGU,Male,No,No,No,Yes,DSL,No,0
9763-GRSKD,Male,No,Yes,No,Yes,DSL,Yes,0
7469-LKBCI,Male,No,No,No internet service,Yes,No,No,0
8091-TTVAX,Male,No,Yes,Yes,Yes,Fiber optic,No,0
0280-XJGEX,Male,No,No,Yes,Yes,Fiber optic,Yes,1
5129-JLPIS,Male,No,No,Yes,Yes,Fiber optic,Yes,0
3655-SNQYZ,Female,No,Yes,Yes,Yes,Fiber optic,No,0
8191-XWSZG,Female,No,No,No internet service,Yes,No,No,0
9959-WOFKT,Male,No,No,Yes,Yes,Fiber optic,No,0
4190-MFLUW,Female,No,Yes,No,Yes,DSL,No,1
4183-MYFRB,Female,No,No,No,Yes,Fiber optic,Yes,0
8779-QRDMV,Male,Yes,No,No,No,DSL,Yes,1
1680-VDCWW,Male,No,Yes,No internet service,Yes,No,No,0
1066-JKSGK,Male,No,No,No internet service,Yes,No,No,1
3638-WEABW,Female,No,Yes,No,Yes,DSL,Yes,0
6322-HRPFA,Male,No,Yes,No,Yes,DSL,No,0
6865-JZNKO,Female,No,No,No,Yes,DSL,Yes,0
6467-CHFZW,Male,No,Yes,Yes,Yes,Fiber optic,Yes,1
8665-UTDHZ,Male,No,Yes,No,No,DSL,No,1
5248-YGIJN,Male,No,Yes,Yes,Yes,DSL,Yes,0
8773-HHUOZ,Female,No,No,Yes,Yes,DSL,Yes,1
3841-NFECX,Female,Yes,Yes,No,Yes,Fiber optic,Yes,0
4929-XIHVW,Male,Yes,Yes,Yes,Yes,Fiber optic,Yes,0
6827-IEAUQ,Female,No,Yes,No,Yes,DSL,No,0
7310-EGVHZ,Male,No,No,No internet service,Yes,No,No,0
3413-BMNZE,Male,Yes,No,No,Yes,DSL,No,0
6234-RAAPL,Female,No,Yes,Yes,Yes,Fiber optic,No,0
6047-YHPVI,Male,No,No,No,Yes,Fiber optic,Yes,1
6572-ADKRS,Female,No,No,No,Yes,Fiber optic,Yes,0
5380-WJKOV,Male,No,No,Yes,Yes,Fiber optic,Yes,1
8168-UQWWF,Female,No,No,Yes,Yes,Fiber optic,Yes,1
8865-TNMNX,Male,No,Yes,No,Yes,DSL,No,0
9489-DEDVP,Female,No,Yes,Yes,Yes,DSL,Yes,0
9867-JCZSP,Female,No,Yes,No internet service,Yes,No,No,0
4671-VJLCL,Female,No,No,Yes,Yes,DSL,Yes,0
4080-IIARD,Female,No,Yes,Yes,Yes,DSL,Yes,0
3714-NTNFO,Female,No,No,No,Yes,Fiber optic,Yes,0
5948-UJZLF,Male,No,No,No,Yes,DSL,No,0
7760-OYPDY,Female,No,No,Yes,Yes,Fiber optic,Yes,1
